department_code,department_name,created_at,disbanded_at,min_employee_num,upper_department_code
DP001,경영지원부,2023-01-10 09:00:00,,5,
DP002,인사부,2023-02-15 09:00:00,,3,DP001
DP003,재무부,2023-03-01 09:00:00,,2,DP001
DP004,영업부,2023-01-20 09:00:00,,10,
DP005,마케팅부,2023-04-10 09:00:00,,6,
DP006,IT기술지원부,2023-05-15 09:00:00,,7,
T001,영업1팀,2023-04-01 09:00:00,,4,DP004
T002,영업2팀,2023-05-10 09:00:00,,4,DP004
T003,인사관리팀,2023-06-01 09:00:00,,2,DP002
T004,재무회계팀,2023-07-15 09:00:00,,3,DP003
T005,기획팀,2023-08-01 09:00:00,,3,DP004
T006,기술지원팀,2023-09-01 09:00:00,,4,DP006
