vacation_id,vacation_name,vacation_left,vacation_used,created_at,expired_at,expiration_status,employee_id,vacation_policy_id,vacation_type_id
1,2024년 연차,15,5,2024-01-01 09:00:00,2024-12-31 23:59:59,N,1,1,1
2,2024년 연차,14,1,2024-01-01 09:00:00,2024-12-31 23:59:59,N,2,1,1
3,2024년 병가,10,2,2024-01-01 09:00:00,2024-12-31 23:59:59,N,3,2,3
4,2024년 포상휴가,7,0,2024-01-01 09:00:00,2024-12-31 23:59:59,N,1,4,4
5,2024년 특별휴가,5,1,2024-01-01 09:00:00,2024-12-31 23:59:59,N,5,5,5
6,2024년 연차,15,3,2024-01-01 09:00:00,2024-12-31 23:59:59,N,3,1,1
7,2024년 공가,3,1,2024-01-01 09:00:00,2024-12-31 23:59:59,N,2,3,2
8,2024년 연차,20,4,2024-01-01 09:00:00,2024-12-31 23:59:59,N,4,1,1
9,2024년 연차,10,2,2024-01-01 09:00:00,2024-12-31 23:59:59,N,5,1,1
10,2024년 특별휴가,5,0,2024-01-01 09:00:00,2024-12-31 23:59:59,N,5,5,5
11,2024년 공가,366,0,2024-01-01 09:00:00,2024-12-31 23:59:59,N,1,2,2
12,2024년 병가,240,0,2024-01-01 09:00:00,2024-12-31 23:59:59,N,1,3,3
